target_month,actual,S1_Day7,S2_Day14,S3_Day21,S4_MonthEnd
2021-01,9.9,11.281921344323775,10.623079792100508,10.336105181144784,10.619391166468862
2021-02,10.3,11.431339952312957,11.222137533434772,11.111416472778712,11.214102867564858
2021-03,10.3,11.32082971819406,11.523129126786792,11.228344215049146,10.938722013393988
2021-04,8.5,8.576895907896809,8.121228183521612,8.717900190884498,8.582607474178449
2021-05,7.5,7.719998125076266,7.620559646019998,8.194080492200516,7.330778921903502
2021-06,7.8,6.635747815835202,7.376696180740949,7.966000960622277,7.221821105781734
2021-07,9.0,6.872554528917596,6.845536209203851,6.950889198091104,7.184901225595231
2021-08,9.7,7.5813212278746045,8.277244139870032,7.921613812963368,8.303794929764985
2021-09,10.6,8.65910667558496,10.183691855343667,10.074289252091218,10.285536494856506
2021-10,11.0,11.51895319912024,11.505993127867198,11.445201989944454,11.01044855957374
2021-11,12.3,12.14314888561967,11.839460275712677,11.766338450417456,11.809309779278854
2021-12,12.6,11.854937435494994,11.875739773151883,12.93518446527444,12.174908366336478
2022-01,13.9,12.71293970715539,13.009677734619762,13.702746224951312,12.865532518696307
2022-02,15.7,12.795955397342262,13.16343367549566,12.834666098777792,13.093235152673977
2022-03,19.4,12.937919163497668,13.07560467965101,15.692554752074406,14.838726044278626
2022-04,23.6,15.428706501202116,17.765602487590627,17.675158490663012,17.679804316096813
2022-05,27.6,19.55106042385076,19.519439859331,23.086359943434864,22.741399259564112
2022-06,29.8,24.36496137175932,29.575501694382723,29.897180169938963,29.606224027407933
2022-07,31.7,31.209516265105066,31.246302495763125,33.155161724568515,33.66040070329473
2022-08,33.9,37.03260194558431,34.682583061877594,33.68035379952137,35.06082576908474
2022-09,37.5,37.72785913808379,36.72917794528323,35.77849481560034,36.68621288175424
2022-10,40.4,40.277376055473326,40.17001315879334,37.00763361977837,38.01523082831692
2022-11,50.3,42.047086817878125,46.11099793374436,46.44380134620059,45.855834637150686
2022-12,54.1,53.06049636561296,54.20796843927378,50.63371012000799,49.512725611980144
2023-01,53.6,50.79542509943866,57.48415998078325,56.63468011415838,57.4164105837833
2023-02,52.8,66.98318745049767,56.52116835911119,55.39833804210383,56.387060749694975
2023-03,45.0,55.50243328370805,56.17903003222009,48.23438492457377,49.06037316124569
2023-04,41.2,44.75307235230359,47.38969871863523,46.60926545426616,47.26750956299408
2023-05,42.2,45.87394611727613,45.82485706263657,35.30321511794441,35.46882555414235
2023-06,42.5,30.47628030670897,33.3608613632183,33.65164932613634,33.3574424334055
2023-07,43.1,30.751240948602664,30.587460868425943,39.64252125660599,40.2548345139613
2023-08,40.1,42.033574201856695,43.41913410077285,42.89117107704394,43.411007978426895
2023-09,38.1,42.498324337154216,44.33816238753965,44.323422257856414,44.01696708314618
2023-10,34.9,45.555624755391655,45.47682403657223,39.0314771311143,38.15788293270621
2023-11,26.4,29.849124295705785,30.554106740348395,30.190685653205527,30.499548550753964
2023-12,23.2,30.3431506726664,30.20664631985748,28.044063665678888,29.46495980746262
2024-01,23.5,33.31674169085596,29.775952463880163,29.47028217121425,29.7319853967285
2024-02,23.2,33.32060592639894,25.762038093494777,25.88885685066775,25.716039535109523
2024-03,25.8,29.91636242582669,30.08414644412698,25.992455086452736,26.33765302996023
2024-04,25.1,24.86226531569616,25.06359838485539,24.872067960768817,25.18368882570308
2024-05,23.1,21.11363823576855,21.104371580668424,21.93673455162928,21.93908764912784
